02.01.2023	30	750
05.01.2023	29	750
06.01.2023	43	760
09.01.2023	31	760
11.01.2023	34	760
12.01.2023	28	760
16.01.2023	34	750
17.01.2023	32	730
20.01.2023	30	730
23.01.2023	34	730
24.01.2023	37	770
25.01.2023	27	770
30.01.2023	28	770
01.02.2023	25	770
05.02.2023	31	710
06.02.2023	30	710
09.02.2023	22	710
14.02.2023	25	710
16.02.2023	23	710
19.02.2023	28	720
22.02.2023	34	720
24.02.2023	31	790
25.02.2023	30	790
04.03.2023	20	790
05.03.2023	34	790
08.03.2023	49	750
10.03.2023	43	750
13.03.2023	41	740
14.03.2023	39	740
18.03.2023	31	740
19.03.2023	34	750
21.03.2023	46	770
22.03.2023	44	770
25.03.2023	33	770
28.03.2023	31	770
29.03.2023	23	750
31.03.2023	41	790
02.04.2023	40	750
03.04.2023	34	750
